timestamp,presion,delta_presion,intervalo_ms,bomba,estadoProceso,tiempoEncendido,etiqueta,lectura_valida
2026-05-17T16:13:25.824Z,2.0555,-0.0259,2961,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:13:28.882Z,2.0296,-0.0259,3058,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:13:31.844Z,2.0167,-0.0129,2962,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:13:34.912Z,2.0167,0.0000,3068,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:13:37.865Z,2.0038,-0.0129,2953,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:13:40.833Z,2.0167,0.0129,2968,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:13:43.888Z,2.0382,0.0215,3055,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:13:46.892Z,2.0468,0.0086,3004,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:13:49.843Z,2.0167,-0.0302,2951,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:13:52.907Z,2.0081,-0.0086,3064,true,Monitor: Bomba ON (override),0,consumo_alto_bomba_on,true
2026-05-17T16:13:55.858Z,2.0124,0.0043,2951,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:13:58.866Z,2.0339,0.0215,3008,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:14:01.820Z,2.0468,0.0129,2954,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:14:04.878Z,2.0038,-0.0431,3058,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:14:07.838Z,1.9822,-0.0215,2960,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:14:10.896Z,1.9520,-0.0302,3058,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:14:13.858Z,2.0167,0.0646,2962,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:14:16.817Z,2.0296,0.0129,2959,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:14:19.879Z,2.0339,0.0043,3062,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:14:22.842Z,1.9908,-0.0431,2963,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:14:25.897Z,1.9520,-0.0388,3055,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:14:28.862Z,1.9822,0.0302,2965,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:14:31.814Z,2.1330,0.1508,2952,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:14:34.875Z,2.1847,0.0517,3061,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:14:37.873Z,2.1460,-0.0388,2998,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:14:40.841Z,2.3916,0.2456,2968,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:14:43.894Z,2.5165,0.1250,3053,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:14:46.860Z,2.6674,0.1508,2966,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:14:49.834Z,2.6932,0.0259,2974,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:14:52.893Z,2.7234,0.0302,3059,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:14:55.863Z,3.0207,0.2973,2970,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:14:58.830Z,2.9949,-0.0259,2967,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:15:01.891Z,2.9647,-0.0302,3061,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:15:04.858Z,2.9388,-0.0259,2967,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:15:07.810Z,2.9345,-0.0043,2952,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:15:10.869Z,2.9690,0.0345,3059,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:15:13.837Z,2.9819,0.0129,2968,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:15:16.896Z,3.0293,0.0474,3059,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:15:19.833Z,3.0035,-0.0259,2937,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
2026-05-17T16:15:22.887Z,2.9776,-0.0259,3054,true,Monitor: Bomba ON (override),0,recuperacion_consumo_alto,true
